sample_id_a,label_a,sample_id_b,label_b,same_label,cosine_distance,cosine_similarity
7aefe948765045c0a51360e7805de06f,6,6099031a01c74cbbb015ecc88831d9f9,6,True,0.0016694068908691406,0.9983305931091309
b858554d324b43f38db46dcd243b9c79,6,c25cbea31cba4819b59bdfbc05cfdfbf,6,True,0.001828312873840332,0.9981716871261597
0037f2474b034ca384a3d3ef1911fe1d,6,c1ab77105e5e4d96a990d9941909a24f,6,True,0.0022208690643310547,0.997779130935669
58fa584bcc9c4e75815f0b0c02410607,6,cc7fe90fae47487d928704fd11a3c593,6,True,0.0025168657302856445,0.9974831342697144
e8c7ced090e540499dc0774cfa183424,6,cc7fe90fae47487d928704fd11a3c593,6,True,0.0025972723960876465,0.9974027276039124
e8c7ced090e540499dc0774cfa183424,6,58fa584bcc9c4e75815f0b0c02410607,6,True,0.0027123093605041504,0.9972876906394958
4fe4d7d83d8446bab63dddd52be86f2b,6,17d8458adbd0417d8f06b90f83e028f8,6,True,0.0027350187301635742,0.9972649812698364
58fa584bcc9c4e75815f0b0c02410607,6,2e34361c89124ca394ba02c4dde1e0df,6,True,0.0027498602867126465,0.9972501397132874
e8c7ced090e540499dc0774cfa183424,6,2e34361c89124ca394ba02c4dde1e0df,6,True,0.0027545690536499023,0.9972454309463501
42b97bd57c4f4714a3bebe66f371e08e,6,17d8458adbd0417d8f06b90f83e028f8,6,True,0.0028349757194519043,0.9971650242805481
2e34361c89124ca394ba02c4dde1e0df,6,38ec757fc04842cebb0dfd136302bd06,6,True,0.00287473201751709,0.9971252679824829
17d8458adbd0417d8f06b90f83e028f8,6,4a35dba8302d462a8f28176cddcb92d5,6,True,0.002877652645111084,0.9971223473548889
c9fa8d8afe1b49dc95f4091080601e21,6,4a35dba8302d462a8f28176cddcb92d5,6,True,0.003016352653503418,0.9969836473464966
1f4c6982086b4e9a9f40f49fd8b467d8,6,c25cbea31cba4819b59bdfbc05cfdfbf,6,True,0.003045797348022461,0.9969542026519775
17d8458adbd0417d8f06b90f83e028f8,6,d3c4d79ded4a4092a6498c91da64fc7f,6,True,0.0030483603477478027,0.9969516396522522
cc7fe90fae47487d928704fd11a3c593,6,2e34361c89124ca394ba02c4dde1e0df,6,True,0.003060460090637207,0.9969395399093628
37d61156974c4936b75dd0a760e85417,6,1ad16dcea4a8456696c9078b934bcc15,6,True,0.0030786991119384766,0.9969213008880615
3ab1f1301e0f41d8b4633b15bfd0c5e4,6,d3c4d79ded4a4092a6498c91da64fc7f,6,True,0.0031371116638183594,0.9968628883361816
cc7fe90fae47487d928704fd11a3c593,6,dd6a26d5fa144dbf977b790fff6a0faf,6,True,0.0031517744064331055,0.9968482255935669
4fe4d7d83d8446bab63dddd52be86f2b,6,4a35dba8302d462a8f28176cddcb92d5,6,True,0.003202199935913086,0.9967978000640869
58fa584bcc9c4e75815f0b0c02410607,6,dd6a26d5fa144dbf977b790fff6a0faf,6,True,0.0032077431678771973,0.9967922568321228
1f4c6982086b4e9a9f40f49fd8b467d8,6,b858554d324b43f38db46dcd243b9c79,6,True,0.003209233283996582,0.9967907667160034
42b97bd57c4f4714a3bebe66f371e08e,6,2ffc9100cc724ea09175b3e94590e75d,6,True,0.0032383203506469727,0.996761679649353
2ffc9100cc724ea09175b3e94590e75d,6,d3c4d79ded4a4092a6498c91da64fc7f,6,True,0.0032389163970947266,0.9967610836029053
685809c617cd42548e7bff8f60265ad4,6,7aefe948765045c0a51360e7805de06f,6,True,0.0032482147216796875,0.9967517852783203
42b97bd57c4f4714a3bebe66f371e08e,6,d3c4d79ded4a4092a6498c91da64fc7f,6,True,0.0032532215118408203,0.9967467784881592
