epoch,learning_rate,train_loss,val_loss,val_mean_dice,val_mean_iou,val_mean_dice_nonempty,val_mean_iou_nonempty,val_empty_target_accuracy
1,0.001,0.38404098642381956,0.14256929153320835,0.8793590068817139,0.8030121326446533,0.8847271203994751,0.8045366406440735,0.7727272727272727
2,0.001,0.09053196351830167,0.07875599707263747,0.9194398522377014,0.8646959662437439,0.9199607968330383,0.8624609708786011,0.9090909090909091
3,0.001,0.06915431558728835,0.1770682622534517,0.7176098227500916,0.573768675327301,0.7033933997154236,0.5523108243942261,1.0
4,0.001,0.048911667966709586,0.050071924263388246,0.9203034043312073,0.8634223341941833,0.9162911772727966,0.8565466403961182,1.0
5,0.001,0.041926785827336215,0.03811175204115496,0.9398561716079712,0.8969357013702393,0.9368283152580261,0.8917471766471863,1.0
6,0.001,0.03781117621698692,0.03743853511325285,0.9395954012870789,0.8963407874107361,0.9365544319152832,0.8911221623420715,1.0
7,0.001,0.037729453962836834,0.03826621214987016,0.9378629922866821,0.8937481641769409,0.9347349405288696,0.8883991241455078,1.0
8,0.001,0.03519857949695177,0.04031335970301644,0.9352917075157166,0.8911049962043762,0.9320340752601624,0.8856229186058044,1.0
9,0.0005,0.03156780428817283,0.03527351169317376,0.9431524872779846,0.9031798243522644,0.9402905106544495,0.8983056545257568,1.0
10,0.0005,0.02995553400378655,0.03477649812734725,0.9431427717208862,0.9028255939483643,0.9402803182601929,0.8979334235191345,1.0
11,0.0005,0.029747625924961267,0.03326935996453649,0.9455876350402832,0.9071720838546753,0.9428483247756958,0.9024989008903503,1.0
12,0.0005,0.029257682462195237,0.040322852329592464,0.9394115805625916,0.8963432908058167,0.9363613724708557,0.8911248445510864,1.0
13,0.0005,0.029578798228158246,0.03309079232647982,0.9467777609825134,0.9095726013183594,0.9440984129905701,0.9050201773643494,1.0
14,0.0005,0.028764385226966897,0.032196026225929396,0.947904646396637,0.9114072322845459,0.9452819228172302,0.906947135925293,1.0
15,0.0005,0.028006466126625735,0.031571668489533834,0.9488975405693054,0.9133762717247009,0.9463249444961548,0.909015417098999,1.0
16,0.0005,0.028002806884162342,0.03857804256266141,0.9385784864425659,0.8959440588951111,0.935486376285553,0.8907055258750916,1.0
17,0.0005,0.02929278412058426,0.03877570142478465,0.9373514652252197,0.8939165472984314,0.9341976046562195,0.8885759711265564,1.0
18,0.0005,0.027945244487546428,0.03206311361783048,0.9489338994026184,0.913455069065094,0.946363091468811,0.9090981483459473,1.0
19,0.00025,0.02618086463656391,0.031043307893262255,0.94944828748703,0.9146423935890198,0.9469033479690552,0.9103451371192932,1.0
20,0.00025,0.025551019363224976,0.030744992441247666,0.9497862458229065,0.9149060249328613,0.9472583532333374,0.9106221795082092,1.0
