sample_id,label,image_path,mask_path,image_original_mode,image_width,image_height,image_dtype,image_min,image_max,mask_width,mask_height,mask_threshold,mask_original_mode,mask_raw_unique_count,mask_has_intermediate_values,defect_pixels,defect_fraction,component_count,bbox_x,bbox_y,bbox_width,bbox_height,empty_mask
2661734b21874fdf9e35a4319a9e7462,6,images/2661734b21874fdf9e35a4319a9e7462.jpg,masks/2661734b21874fdf9e35a4319a9e7462.png,L,480,480,uint8,2,120,480,480,128,L,1,False,0,0.0,0,,,,,True
0c8af9b8e62f4cb498392e806236e5e0,6,images/0c8af9b8e62f4cb498392e806236e5e0.jpg,masks/0c8af9b8e62f4cb498392e806236e5e0.png,L,480,480,uint8,1,122,480,480,128,L,1,False,0,0.0,0,,,,,True
ecb33a23f90b47fe8ee1dfe3e4d5f0df,6,images/ecb33a23f90b47fe8ee1dfe3e4d5f0df.jpg,masks/ecb33a23f90b47fe8ee1dfe3e4d5f0df.png,L,480,480,uint8,1,119,480,480,128,L,1,False,0,0.0,0,,,,,True
adc88a3f9fb34ae79142ba9f12a6f1e1,6,images/adc88a3f9fb34ae79142ba9f12a6f1e1.jpg,masks/adc88a3f9fb34ae79142ba9f12a6f1e1.png,L,480,480,uint8,2,121,480,480,128,L,1,False,0,0.0,0,,,,,True
bc228459f662459f80fbce99bedd9d20,6,images/bc228459f662459f80fbce99bedd9d20.jpg,masks/bc228459f662459f80fbce99bedd9d20.png,L,480,480,uint8,1,118,480,480,128,L,1,False,0,0.0,0,,,,,True
2f33d7aaa7684ad9a96e21845c8c7126,6,images/2f33d7aaa7684ad9a96e21845c8c7126.jpg,masks/2f33d7aaa7684ad9a96e21845c8c7126.png,L,480,480,uint8,2,123,480,480,128,L,1,False,0,0.0,0,,,,,True
61b90b63dcb9479c9a7064c07a4d6645,6,images/61b90b63dcb9479c9a7064c07a4d6645.jpg,masks/61b90b63dcb9479c9a7064c07a4d6645.png,L,480,480,uint8,1,121,480,480,128,L,1,False,0,0.0,0,,,,,True
a6805b35d09d4b1ea3f0b1b51de6e32e,6,images/a6805b35d09d4b1ea3f0b1b51de6e32e.jpg,masks/a6805b35d09d4b1ea3f0b1b51de6e32e.png,L,480,480,uint8,1,121,480,480,128,L,1,False,0,0.0,0,,,,,True
518889521019455a857729f9f1b9ab7e,6,images/518889521019455a857729f9f1b9ab7e.jpg,masks/518889521019455a857729f9f1b9ab7e.png,L,480,480,uint8,2,120,480,480,128,L,1,False,0,0.0,0,,,,,True
02e7fc0869664405961d6183c9650c09,6,images/02e7fc0869664405961d6183c9650c09.jpg,masks/02e7fc0869664405961d6183c9650c09.png,L,480,480,uint8,1,121,480,480,128,L,1,False,0,0.0,0,,,,,True
c3ad636657c341e0bf1dc79329a2f37f,6,images/c3ad636657c341e0bf1dc79329a2f37f.jpg,masks/c3ad636657c341e0bf1dc79329a2f37f.png,L,480,480,uint8,1,122,480,480,128,L,1,False,0,0.0,0,,,,,True
97d9007f618b4df8ab0f55148ecc44d1,6,images/97d9007f618b4df8ab0f55148ecc44d1.jpg,masks/97d9007f618b4df8ab0f55148ecc44d1.png,L,480,480,uint8,2,122,480,480,128,L,1,False,0,0.0,0,,,,,True
c8b405b8b87347d68f60fd37ac6a09c7,6,images/c8b405b8b87347d68f60fd37ac6a09c7.jpg,masks/c8b405b8b87347d68f60fd37ac6a09c7.png,L,480,480,uint8,0,122,480,480,128,L,1,False,0,0.0,0,,,,,True
7787cd8a9a0d4aeeb242234207b7ea3b,6,images/7787cd8a9a0d4aeeb242234207b7ea3b.jpg,masks/7787cd8a9a0d4aeeb242234207b7ea3b.png,L,480,480,uint8,2,122,480,480,128,L,1,False,0,0.0,0,,,,,True
a3ee280613e14c5a9b154f4d5e4eb529,6,images/a3ee280613e14c5a9b154f4d5e4eb529.jpg,masks/a3ee280613e14c5a9b154f4d5e4eb529.png,L,480,480,uint8,1,124,480,480,128,L,1,False,0,0.0,0,,,,,True
5f8b5a183ed3492cb81d3734cd47c29c,6,images/5f8b5a183ed3492cb81d3734cd47c29c.jpg,masks/5f8b5a183ed3492cb81d3734cd47c29c.png,L,480,480,uint8,1,122,480,480,128,L,1,False,0,0.0,0,,,,,True
c4741969737e4dca92334649d1fe33e9,6,images/c4741969737e4dca92334649d1fe33e9.jpg,masks/c4741969737e4dca92334649d1fe33e9.png,L,480,480,uint8,0,122,480,480,128,L,1,False,0,0.0,0,,,,,True
ea0ccf9087aa4cd8995288cc0ab6d2ba,6,images/ea0ccf9087aa4cd8995288cc0ab6d2ba.jpg,masks/ea0ccf9087aa4cd8995288cc0ab6d2ba.png,L,480,480,uint8,1,123,480,480,128,L,1,False,0,0.0,0,,,,,True
c0f92babdecf4146a78a702be6ff5506,6,images/c0f92babdecf4146a78a702be6ff5506.jpg,masks/c0f92babdecf4146a78a702be6ff5506.png,L,480,480,uint8,2,122,480,480,128,L,1,False,0,0.0,0,,,,,True
