sample_id,label,split,leakage_group_id
0149a2fcc66647119759fddb9ec44061,1,train,
066175ba993a43bf84007494066c3565,1,train,
0c15addfbe4742b9839ee18abc3b2d5e,1,train,
1079519b735f41aabc8e7c642cb5e487,1,train,
1343a6294b7d42c79f319f7abbac94f3,1,train,
14ae6c06e5cc4dc68ef31c27abc620d0,1,train,
164c6e90e400436781243fc9bff0ec66,1,train,
39046b8e96ed4c2eafc28a4f1f622666,1,train,
39c90ffde2ff46e782a909b27362abff,1,train,
434a4fab1a67484f81e929a5f37c5300,1,train,
44b691ece9644c99bfcc153bc0a9864d,1,train,
4a3f8f2eb2874387ac51913819153f6b,1,train,
4a7b822d5e1646f5a8566dfd83f157a1,1,train,
4beeb8dfc4df4dceb7eb1d850a87923e,1,train,
4d653436c00e460ebbc75f44416bed7b,1,train,
603981d116e24661b39d83cb7743276b,1,train,
65dec6457eb447ce9f34d51834cf7e94,1,train,
6942283e03ad493fb8ed048e3033fcfe,1,train,
6e73f1c79c9b48688541c6a01dc2ab13,1,train,
78a1c469a2cb40a9af0ea0c59c68f405,1,train,
79f56519acd14e66a8a9a7ebdff3860c,1,train,
8620228ce4ba44028b3cac12ad40a3a5,1,train,
8ec28f8dec32414b9a02af4499854fb9,1,train,
96e16114c7c74c748c7873d132aa8d7e,1,train,
a50d07ada0434445be101016e4fe33c6,1,train,
a957d7c6b94a4575af8120fb89572f7a,1,train,
aab1993c0a7e434182f5423965e7839b,1,train,
ac2b8b1530214c5bbee802f6d57b58c2,1,train,
bfba5a30d1e74d5e841a0a619ab4ba43,1,train,
c067c3081f9f47b6b40b1f6a0fcf0041,1,train,
c3c3280055d247029d8338100c629602,1,train,
c4d3868a9b784cf7acc4407e3ec652c4,1,train,
c8f6ce1edd5741b6867562c7d2a7f80e,1,train,
ca4dfbc65eff4912a98bcc754c6523cc,1,train,
d1147ea97bb0410487f432a49def8265,1,train,
e272332d1326457280a6773bfe48cbb2,1,train,
e3cbdc00afc544058c3ff04dc04aca43,1,train,
e45b736fa795471b94454a39639a03a2,1,train,
e5e1e05097cc47c6a631f640365134d3,1,train,
ea72806fc07c48a5a88a21b3f36ed865,1,train,
f4b1143960794846a276057065dbfaf2,1,train,
f63ffe75c5e649daa5abceb26c3b80af,1,train,
f8d6c8cd1bab4da5881a880ead12b0c7,1,train,
feb00cbdf48042be8f7831566f963df8,1,train,
2326638fa4b8488da13180531ba50db4,2,train,
2328a26fb16a49b5b2964a1735454eb0,2,train,
736ddd62ac72463ab0c1013bb1723377,2,train,
811a6499bd844091aecd4000549aa060,2,train,
